filename,Mislabeled,Low Quality,Contains also,Can be,label
0000136188.jpg,0,,,,ADVE
0000435350.jpg,0,,,,ADVE
0000556056.jpg,0,,,,ADVE
664383.jpg,0,,,,ADVE
03496270.jpg,0,,,,ADVE
03567810.jpg,0,,,,ADVE
03722789.jpg,0,,Article,,ADVE
04102204.jpg,0,,,,ADVE
04106546.jpg,0,,,,ADVE
04233037_04233039.jpg,0,,,,ADVE
04412344.jpg,0,,,,ADVE
12320856.jpg,0,,,,ADVE
13581913.jpg,0,,,,ADVE
0030048095.jpg,0,,,,ADVE
12779302.jpg,0,,,,ADVE
0030048989.jpg,0,,,,ADVE
0030049569.jpg,0,,,,ADVE
12779971.jpg,1,,,,ADVE
71178054.jpg,0,,Note,,ADVE
71329566.jpg,1,,,,ADVE
71374678.jpg,0,,,,ADVE
71408946.jpg,0,,,,ADVE
71895027.jpg,0,,,,ADVE
71895703.jpg,0,,,,ADVE
71896384.jpg,0,,,,ADVE
82262347_2348.jpg,0,Yes,,,ADVE
85251705.jpg,0,,,,ADVE
86122854.jpg,0,,Note,,ADVE
87003967_87003968.jpg,0,,,,ADVE
87063899.jpg,0,,,,ADVE
87064470.jpg,0,,,,ADVE
87064857.jpg,0,,,,ADVE
87066788.jpg,0,,Article,,ADVE
89872610.jpg,0,,Note,,ADVE
91505342_5343.jpg,1,,,,ADVE
91551808.jpg,0,,Contents,,ADVE
91656417.jpg,0,,Article,,ADVE
91689217.jpg,0,,,,ADVE
92086756.jpg,0,,,,ADVE
92111083.jpg,0,,,,ADVE
92206285.jpg,0,,,,ADVE
92221516_1518.jpg,0,,,,ADVE
92236848.jpg,0,,,,ADVE
92678691.jpg,0,,,,ADVE
93330837.jpg,0,,,,ADVE
93332074_2082.jpg,0,,,,ADVE
93341527.jpg,1,,,,ADVE
93422915.jpg,0,,,,ADVE
94054618.jpg,0,,,,ADVE
96324864.jpg,0,,,,ADVE
99332057_2058.jpg,0,,,,ADVE
99342431_2432.jpg,0,,,,ADVE
500076275_500076282.jpg,1,,,,ADVE
500161305.jpg,0,,,,ADVE
500248654+-8654.jpg,0,,,,ADVE
500323180+-3180.jpg,0,Yes,Form,,ADVE
500713757_500713758.jpg,0,,,,ADVE
501131762+-1762.jpg,1,,,,ADVE
501157471+-7480.jpg,0,,,,ADVE
501303452+-3452.jpg,0,,,,ADVE
501947737_501947738.jpg,1,,,,ADVE
502108541+-8546.jpg,0,,,,ADVE
502141224.jpg,0,,Note,,ADVE
502217247+-7247.jpg,0,,,,ADVE
502218620.jpg,0,,,,ADVE
502219477.jpg,0,,,,ADVE
502339758+-9761.jpg,1,,,,ADVE
502471549.jpg,0,,,,ADVE
502472358.jpg,0,,,,ADVE
502472939.jpg,0,,,,ADVE
502473843.jpg,0,,,,ADVE
502474424.jpg,0,,,,ADVE
502590268.jpg,0,,,,ADVE
502592126.jpg,0,,,,ADVE
502593053.jpg,0,,,,ADVE
502593762.jpg,0,,Note,,ADVE
502594404.jpg,0,,Note,Article,ADVE
502595294.jpg,0,,,,ADVE
502595869.jpg,0,,,,ADVE
502596443.jpg,0,,,,ADVE
502597344.jpg,0,,,,ADVE
502597916.jpg,0,,,,ADVE
502599068.jpg,0,,,,ADVE
502599535+-9535.jpg,0,Yes,Note,,ADVE
502600009+-0009.jpg,0,Yes,Note,,ADVE
502607162+-7162.jpg,0,,,,ADVE
502607827+-7827.jpg,0,,"Article, Form",,ADVE
502610107+-0107.jpg,0,,"Form, Note",,ADVE
502610513+-0516.jpg,0,,,,ADVE
502611995a-1996.jpg,0,,,,ADVE
502612183+-2183.jpg,0,,,Letter,ADVE
502613661a-3662.jpg,0,,,,ADVE
503146051+-6051.jpg,0,,,,ADVE
503524860_503524863.jpg,0,,,,ADVE
503781513.jpg,0,,,,ADVE
503782317.jpg,0,,,,ADVE
503783036+-3036.jpg,0,,,,ADVE
503783160+-3160.jpg,0,,,,ADVE
503950104.jpg,0,,,,ADVE
503960254.jpg,0,,,,ADVE
503960838.jpg,0,,,,ADVE
503961738+-1738.jpg,0,,,,ADVE
505576130+-6130.jpg,0,,,,ADVE
506672255_506672256.jpg,0,,Form,,ADVE
507806606.jpg,0,,Note,,ADVE
509130720+-0721.jpg,0,,,,ADVE
509131202.jpg,0,,,,ADVE
509131306+-1306.jpg,0,,,,ADVE
509132587+-2587.jpg,0,,,,ADVE
509134160.jpg,0,,Note,,ADVE
509134595+-4596.jpg,0,,,,ADVE
509136909+-6910.jpg,0,,Note,,ADVE
509137457+-7458.jpg,1,,,,ADVE
509137948+-7949.jpg,0,,,,ADVE
509138972+-8972.jpg,0,,,,ADVE
509139618+-9618.jpg,0,,,,ADVE
512696082+-6082.jpg,0,,,"Article, Report",ADVE
512725630.jpg,0,,,,ADVE
514109075+-9076.jpg,0,,,,ADVE
514766071+-6072.jpg,0,,,,ADVE
517501237+-1237.jpg,0,,,,ADVE
514968966+-8967.jpg,0,,,,ADVE
515127169_515127171.jpg,0,,,,ADVE
517500165+-0165.jpg,0,,,,ADVE
517502631+-2631.jpg,0,,,,ADVE
517508300+-8301.jpg,0,,,,ADVE
517508450+-8453.jpg,0,Yes,,,ADVE
517950663+-0671.jpg,0,,,,ADVE
518050854_518050855.jpg,0,,,,ADVE
521150302+-0302.jpg,0,,,,ADVE
521150892+-0895.jpg,0,Yes,,,ADVE
521151227+-1227.jpg,0,,,,ADVE
522934065+-4065.jpg,0,,Note,,ADVE
527844182+-4182.jpg,1,,,,ADVE
1002325458.jpg,1,,,,ADVE
1002760819.jpg,0,,Article,,ADVE
1002761179.jpg,0,,,,ADVE
1002761668.jpg,0,,,,ADVE
1002761869.jpg,0,,,,ADVE
1002762773.jpg,0,,,,ADVE
1002763015.jpg,0,,,,ADVE
1005116329_6330.jpg,0,,,,ADVE
1005150029.jpg,0,,,,ADVE
2021284642.jpg,0,,Form,,ADVE
2023086360.jpg,1,,,,ADVE
2023738160.jpg,0,,,,ADVE
2024182848.jpg,0,,,"Article, Report",ADVE
2025016432.jpg,0,,,Article,ADVE
2040144258.jpg,0,,,,ADVE
2040183521.jpg,0,,,,ADVE
2040697247.jpg,0,,,,ADVE
2040811409.jpg,0,,,,ADVE
2041076526.jpg,0,,,,ADVE
2041089398.jpg,0,,,,ADVE
2041511979.jpg,0,,,,ADVE
2042029706.jpg,0,,,,ADVE
2042333574.jpg,0,,,,ADVE
2042348217.jpg,0,,,,ADVE
2043025626.jpg,0,,Form,,ADVE
2044759026.jpg,0,,,,ADVE
2045081234.jpg,0,,,,ADVE
2045573975.jpg,0,,Note,,ADVE
2045630056.jpg,0,,,,ADVE
2045731638.jpg,0,,,,ADVE
2045830670.jpg,0,,,,ADVE
2047920303.jpg,0,,Note,,ADVE
2048509434.jpg,0,,,,ADVE
2049398699.jpg,0,,,,ADVE
2050834062.jpg,0,,,,ADVE
2058501023.jpg,0,,,,ADVE
2058502246.jpg,0,,,,ADVE
2048729226.jpg,0,,,,ADVE
2058502871.jpg,0,,Note,,ADVE
2058503524.jpg,0,,,,ADVE
2058503900.jpg,0,,,,ADVE
2058501637.jpg,0,,,,ADVE
2058504564.jpg,0,,Form,,ADVE
2061000301.jpg,0,,,,ADVE
2061002005.jpg,0,,,,ADVE
2061002797.jpg,0,,,,ADVE
2061003642.jpg,0,,,,ADVE
2061012559.jpg,0,,Article,,ADVE
2061141775.jpg,0,,,,ADVE
2061190138.jpg,0,,,,ADVE
2061199558.jpg,0,,,,ADVE
2063550295.jpg,1,,,,ADVE
2064004681.jpg,0,,,,ADVE
2064932937.jpg,0,,,,ADVE
2065199983_9984.jpg,0,Yes,,,ADVE
2067540350_2067540352.jpg,0,,,,ADVE
2069506477.jpg,0,,,,ADVE
2070262428_2429.jpg,0,,,,ADVE
2070494554_4555.jpg,0,,,,ADVE
2070500515_0516.jpg,0,,,,ADVE
2070501595.jpg,0,,,,ADVE
2070711254_1255.jpg,1,,,,ADVE
2070711761.jpg,0,,,,ADVE
2070712842_2843.jpg,0,,,,ADVE
2070715949_5950.jpg,0,,,,ADVE
2070717320_7321.jpg,0,,Credits,,ADVE
2070717402_7403.jpg,0,,,,ADVE
2070718633.jpg,0,,,,ADVE
2071388237.jpg,0,,,,ADVE
2071465080_5081.jpg,0,,Article,,ADVE
2071466317_6318.jpg,0,,,,ADVE
2072281108.jpg,0,,,,ADVE
2072998094.jpg,0,,,,ADVE
2073487737.jpg,0,,,,ADVE
2073971431.jpg,0,,,Article,ADVE
2083306564.jpg,0,,,,ADVE
2084396082.jpg,0,,Article,,ADVE
2084396137_6138.jpg,1,,,,ADVE
2084396927.jpg,0,,,,ADVE
2084412816_2817.jpg,0,,,,ADVE
2084420704.jpg,0,,,,ADVE
2084425560_5561.jpg,0,,Note,,ADVE
2084426012_6013.jpg,0,,Note,,ADVE
2084426710_6711.jpg,0,,Note,,ADVE
2084427165_7166.jpg,0,,Note,,ADVE
2084510807.jpg,0,,,,ADVE
2084513422.jpg,0,,,,ADVE
2085043981.jpg,0,,,,ADVE
2501015790.jpg,0,,,"Article, Letter",ADVE
2501030007.jpg,0,,,,ADVE
2501053670.jpg,0,Yes,Article,,ADVE
tob01701.23.jpg,1,,"Note, Form",Article,ADVE
tob06517.41_tob06517.42.jpg,1,,,,ADVE
tob08311.50.jpg,0,,Form,,ADVE
tob19002.28_tob19002.30.jpg,0,,,,ADVE
ton01906.84.jpg,0,,,,ADVE
10023383_10023387.jpg,0,,,,Scientific
10051884_10051894.jpg,1,,,,Scientific
569669.jpg,0,,,Scientific,Report
587167.jpg,0,,,Scientific,Report
594375.jpg,1,,,,Report
0000958516.jpg,0,,,,Report
0000972342.jpg,0,,,Memo,Report
0001166781.jpg,0,,,Note,Report
0001251167.jpg,0,,,Note,Report
0001414986.jpg,0,,,Scientific,Report
10044882_10044909.jpg,0,,,Scientific,Report
10103478_10103482.jpg,0,,,Scientific,Report
10127889_10127890.jpg,0,,Note,Scientific,Report
10167656.jpg,0,,,Scientific,Report
10176813.jpg,0,,,Scientific,Report
10232045_10232047.jpg,0,,,Scientific,Report
10423065_10423068.jpg,0,,,Scientific,Report
11004538.jpg,0,,,Scientific,Report
11225239_11225242.jpg,0,,,,Report
11239042_11239045.jpg,0,,,Scientific,Report
11298506_11298508.jpg,0,,,Scientific,Report
0011987564.jpg,0,,Note,"Note, Memo",Report
12304582.jpg,0,,,,Report
13091906.jpg,0,,Note,,Report
24006371_24006372.jpg,0,,,,Report
24010243_24010244.jpg,0,,,,Report
50027604_50027607.jpg,0,,,,Report
50118021-8021.jpg,0,,Note,Scientific,Report
50216661-6661.jpg,0,,Note,Scientific,Report
50244186-4186.jpg,0,,,Scientific,Report
50255591-5591.jpg,0,,,Scientific,Report
50168370-8370.jpg,1,,,Scientific,Report
50258031-8032.jpg,1,,,,Report
60013476.jpg,1,,,,Report
60033390_60033392.jpg,1,,Note,Scientific,Report
71103533.jpg,0,,,,Report
71225399.jpg,0,,,,Report
500195739_500195747.jpg,0,,,,Report
500206087_500206093.jpg,0,,,,Report
500272469+-2470.jpg,0,,,,Report
500272849_500272900.jpg,0,,,,Report
